officeCarp,livingCarp,kitchenCarp,bedroomCarp,bathroomCarp,Activity,Time,timestamp
0,1,0,0,0,eat,2020-03-04 07:20:07,2020-03-04 05:29:43
0,0,0,0,0,work,2020-03-04 07:50:16,2020-03-04 05:29:44
0,0,0,0,1,leisure,2020-03-04 07:50:18,2020-03-04 05:29:45
0,0,0,0,0,leisure,2020-03-04 07:55:12,2020-03-04 05:29:46
0,1,0,0,0,personal,2020-03-04 07:55:13,2020-03-04 05:29:47
0,0,0,0,0,personal,2020-03-04 08:26:43,2020-03-04 05:29:48
0,1,0,0,0,leisure,2020-03-04 08:26:44,2020-03-04 05:29:49
0,0,0,0,0,leisure,2020-03-04 08:26:45,2020-03-04 05:29:50
0,0,1,0,0,leisure,2020-03-04 08:26:47,2020-03-04 05:29:51
0,0,0,0,0,leisure,2020-03-04 08:26:56,2020-03-04 05:29:52
1,0,0,0,0,leisure,2020-03-04 08:26:57,2020-03-04 05:29:53
0,0,0,0,0,leisure,2020-03-04 08:57:04,2020-03-04 05:29:54
0,1,0,0,0,leisure,2020-03-04 08:57:05,2020-03-04 05:29:55
0,0,0,0,0,leisure,2020-03-04 09:47:11,2020-03-04 05:29:56
0,0,0,0,1,leisure,2020-03-04 09:47:12,2020-03-04 05:29:57
0,0,0,1,0,leisure,2020-03-04 09:47:13,2020-03-04 05:29:58
0,0,0,1,0,other,2020-03-03 07:55:30,2020-03-05 07:54:53
0,0,0,0,0,other,2020-03-03 07:57:43,2020-03-05 07:54:54
0,0,1,0,0,other,2020-03-03 07:57:49,2020-03-05 07:54:55
0,0,0,0,0,other,2020-03-03 08:00:04,2020-03-05 07:54:56
0,0,0,0,1,eat,2020-03-03 08:00:11,2020-03-05 07:54:57
0,1,0,0,0,other,2020-03-04 05:32:20,2020-03-05 05:34:42
0,0,0,0,0,other,2020-03-04 05:32:24,2020-03-05 05:34:43
0,0,0,1,0,other,2020-03-04 05:32:27,2020-03-05 05:34:44
0,0,0,0,0,other,2020-03-04 05:32:32,2020-03-05 05:34:45
0,0,0,1,0,sleep,2020-03-04 05:32:33,2020-03-05 05:34:46
0,0,0,0,1,sleep,2020-03-04 06:12:42,2020-03-05 05:34:47
0,0,0,0,0,sleep,2020-03-04 06:16:21,2020-03-05 05:34:48
0,1,0,0,0,sleep,2020-03-04 06:16:22,2020-03-05 05:34:49
0,0,0,0,0,sleep,2020-03-04 06:16:25,2020-03-05 05:34:50
0,0,1,0,0,eat,2020-03-04 06:16:27,2020-03-05 05:34:51
0,0,0,0,0,eat,2020-03-04 06:33:17,2020-03-05 05:34:52
1,0,0,0,0,eat,2020-03-04 06:33:21,2020-03-05 05:34:53
0,1,0,0,0,eat,2020-03-04 07:20:07,2020-03-05 05:34:54
0,0,0,0,0,work,2020-03-04 07:50:16,2020-03-05 05:34:55
0,0,0,0,1,leisure,2020-03-04 07:50:18,2020-03-05 05:34:56
0,0,0,0,0,leisure,2020-03-04 07:55:12,2020-03-05 05:34:57
0,1,0,0,0,personal,2020-03-04 07:55:13,2020-03-05 05:34:58
0,0,0,0,0,personal,2020-03-04 08:26:43,2020-03-05 05:34:59
0,1,0,0,0,leisure,2020-03-04 08:26:44,2020-03-05 05:35:00
0,0,0,0,0,leisure,2020-03-04 08:26:45,2020-03-05 05:35:01
0,0,1,0,0,leisure,2020-03-04 08:26:47,2020-03-05 05:35:02
0,0,0,0,0,leisure,2020-03-04 08:26:56,2020-03-05 05:35:03
1,0,0,0,0,leisure,2020-03-04 08:26:57,2020-03-05 05:35:04
0,0,0,0,0,leisure,2020-03-04 08:57:04,2020-03-05 05:35:05
0,1,0,0,0,leisure,2020-03-04 08:57:05,2020-03-05 05:35:06
0,0,0,0,0,leisure,2020-03-04 09:47:11,2020-03-05 05:35:07
0,0,0,0,1,leisure,2020-03-04 09:47:12,2020-03-05 05:35:08
0,0,0,1,0,leisure,2020-03-04 09:47:13,2020-03-05 05:35:09
0,0,0,1,0,other,2020-03-03 07:55:30,2020-03-06 07:52:13
0,0,0,0,0,other,2020-03-03 07:57:43,2020-03-06 07:52:14
0,0,1,0,0,other,2020-03-03 07:57:49,2020-03-06 07:52:15
0,0,0,0,0,other,2020-03-03 08:00:04,2020-03-06 07:52:16
0,0,0,0,1,eat,2020-03-03 08:00:11,2020-03-06 07:52:17
